Identifiant géographique / Asset location;Longueur / length (km);IST_E1 (Amp);IST_IS1 (Amp);IST_IS2 (Amp);IST_H1 (Amp);Rd (Ohm);Xd (Ohm);Hd/2 (µS);Cd (nF)
LIT 225kV NO 1 AVOINE-AVOINE (POSTE 400 KV);1660;;;;;0,042;0,275;46,371;295,206
LIT 225kV N0 1 AVOINE-DISTRE;23105;915;915;1075;1075;1,294;8,775;79,379;505,343
LIT 225kV NO 1 AVOINE-QUINTES (LES);78477;1100;1186;1186;1275;4,462;30,705;113,414;722,018
LIT 225kV N0 1 BROC-CARROS (LE) - LINGOSTIERE;11971;1062;1160;1160;1238;0,69;4,616;16,561;105,429
LIT 225kV N0 1 BROC-CARROS (LE) - TRINITE-VICTOR;13853;1062;1160;1160;1238;0,812;5,476;20,263;
LIT 225kV N0 2 BROC-CARROS (LE) - LINGOSTIERE;11928;1062;1160;1160;1238;0,715;4,787;17,179;109,367
LIT 225kV N0 2 BROC-CARROS (LE) - TRINITE-VICTOR;13937;1062;1081;1160;1207;0,812;5,544;20,171;128,413
LIT 400kV N0 1 BROC-CARROS (LE) - BIANCON;51719;2006;2192;2192;2336;1,665;15,592;97,999;623,881
LIT 400kV N0 2 BROC-CARROS (LE)-BIANCON;50803;2006;2192;2192;2336;1,665;15,592;97,999;623,881
LIT 225kV N0 1 BRAILLY-CORNEHOTTE - SORRUS;30947;865;865;865;865;2,769;12,603;43,678;278,064
LIT 225kV N0 1 BELLE-EPINE - DOMLOUP;18083;934;934;1154;1154;1,018;6,863;75,53;480,841
LIT 225kV NO 1 BELLE-EPINE-RANCE-POSTE;70250;795;864;864;931;6,323;28,584;99,084;630,79
LIT 225kV NO 1 BEAUMONT-MONTEUX-VALENCE;14022;695;782;782;855;1,17;5,76;23;
LIT 225kV NO 2 BEAUMONT-MONTEUX-GAMPALOUP;36312;880;992;992;1086;2,17;14,7;52;
LIT 400kV NO 2 BEAUMONT-MONTEUX-CHAFFARD (LE);76126;3465;3544;3544;3575;2,261;22,922;141,986;903,91
LIT 400kV NO 2 BEAUMONT-MONTEUX-COULANGE;61261;3465;3544;3544;3575;1,715;19,416;111,605;710,5
LIT 400kV N0 1 BOIS-TOLLOT - GENISSIAT-POSTE;33647;1948;2162;2162;2348;1,107;10,877;59,975;381,815
LIT 225kV NO 1 BACALAN-BRUGES;9894;655;655;760;760;0,593;3,97;16,397;104,383
LIT 225kV NO 1 BACALAN-MARQUIS (LE);19408;898;920;1030;1030;1,12;7,583;38,281;
LIT 400kV N0 1 BAIXAS - GAUDIERE (LA);71070;4400;4500;4500;4500;1,565;22,203;131,873;839,529
LIT 400kV N0 2 BAIXAS - LA GAUDIERE;71139;4400;4500;4500;4500;1,565;22,203;131,873;839,529
LIT 225kV NO 1 BALARUC - FLORENSAC;25565;1161;1241;1241;1306;1,562;10,27;36,807;234,322
LIT 225kV NO 1 BALARUC - MONTPELLIER;20281;1233;1320;1320;1389;1,217;8,115;29,259;186,268
LIT 225kV NO 1 BALMA (POSTE)-VERFEIL;15743;1080;1185;1185;1289;0,945;6,329;22,663;144,274
LIT 225kV NO 2 BALMA (POSTE)-VERFEIL;15741;1080;1185;1185;1289;0,944;6,329;22,66;144,256
LIT 225kV N0 1 BARBUISE - CRENEY;59458;684;781;781;869;5,296;24,684;81,892;521,343
LIT 225kV N0 1 BARBUISE - FOSSES (LES);53523;684;781;781;869;4,727;22,104;74,447;473,947
LIT 400kV N0 1 BARNABOS - PENLY (POSTE EVACUATION);47082;3465;3622;3622;3780;0,707;12,046;105,135;669,312
LIT 400kV N0 1 BARNABOS-REMISE;85443;3465;3622;3622;3780;1,725;22,672;187,477;1193,517
LIT 400kV N0 1 BARNABOS - ROUGEMONTIER;50281;3416;3622;3622;3780;1,057;15,342;95,532;608,174
LIT 400kV N0 1 BARNABOS - TERRIER;106793;3465;3622;3622;3780;2,136;28,087;233,173;1484,423
LIT 400kV N0 1 BARNABOS - VAUPALIERE (LA);21799;3465;3622;3622;3780;0,437;5,743;47,542;302,661
LIT 400kV N0 2 BARNABOS-PENLY (POSTE EVACUATION);47050;3465;3622;3622;3780;0,707;12,044;105,114;669,179
LIT 400kV N0 2 BARNABOS-REMISE;85439;3465;3622;3622;3780;1,711;22,484;186,449;1186,971
LIT 400kV NO 2 BARNABOS-ROUGEMONTIER;50274;3416;3622;3622;3780;1,057;15,342;95,534;608,186
LIT 400kV NO 2 BARNABOS-TERRIER;106841;3465;3622;3622;3780;2,137;28,109;233,429;1486,056
LIT 400kV NO 2 BARNABOS-VAUPALIERE (LA);21824;3465;3622;3622;3780;0,438;5,752;47,559;302,767
LIT 225kV NO 1 BASTILLAC-LANNEMEZAN;51558;855;940;;1025;3,166;20,675;74,065;471,514
LIT 225kV NO 1 BATZENDORF-MARLENHEIM;29578;1100;1187;1187;1302;1,804;11,989;43,52;277,055
LIT 225kV N0 1 BAYET - MONTVICQ;37092;814;855;983;1000;2,11;14,64;59;
LIT 225kV NO 1 BAYET-RULHAT;53211;1375;1437;1437;1500;1,042;12,504;125,869;801,305
LIT 225kV NO 1 BAYET-SEMINAIRE;41254;358;692;692;883;2,474;16,472;59,577;379,279
LIT 225kV NO 1 BAYET-VOLVIC;46358;814;983;983;1099;2,68;18,73;66;
LIT 400kV N0 1 BAYET-GAUGLIN;156345;2800;3000;3000;3100;3,234;41,745;333,918;2125,786
LIT 400kV N0 1 BAYET - GREPILLES;70784;2130;2300;2300;2400;2,124;21,532;133,396;849,227
LIT 400kV N0 1 BAYET - MARMAGNE;123163;2130;2300;2300;2400;3,707;37,569;232,948;1482,996
LIT 400kV N0 1 BAYET - RULHAT;53138;1950;2025;2025;2100;1,039;13,664;113,035;719,604
LIT 400kV NO 2 BAYET-GREPILLES;70754;2130;2374;2374;2576;2,123;21,52;133,394;849,209
LIT 400kV NO 2 BAYET-MARMAGNE;123205;2130;2300;2300;2400;3,71;37,594;233,105;1483,992
LIT 400kV N0 2 BAYET-ST-ELOI;85929;2800;3000;3000;3100;1,712;22,502;186,585;1187,834
LIT 225kV N0 1 BERGE - CANTEGRIT;19966;915;985;;1060;1,22;7,945;28,915;184,077
LIT 225kV N0 1 BERGE - MARSILLON;57047;915;985;;1060;3,479;22,666;82,474;525,045
LIT 225kV N0 1 BERGHOLZ-MARLENHEIM;41359;2200;2281;2281;2281;0,767;11,003;86,2;548,769
LIT 225kV NO 1 BEZAUMONT-CROIX-DE-METZ;27115;1172;1285;1285;1388;1,571;10,705;39,403;250,849
LIT 225kV NO 1 BEZAUMONT-CUSTINE;12619;1172;1285;1285;1388;0,761;5,07;18,32;116,626
LIT 225kV NO 1 BEZAUMONT-VANDIERES;13646;1172;1285;1285;1388;0,819;5,445;19,728;125,596
LIT 225kV NO 2 BEZAUMONT-VANDIERES;13741;1172;1285;1285;1375;0,817;5,428;19,698;125,4
LIT 400kV N0 1 BEZAUMONT - HOUDREVILLE;52250;3465;3622;3622;3780;1,038;13,645;113,12;720,143
LIT 400kV N0 1 BEZAUMONT - MARLENHEIM;166525;2070;2282;2282;2400;4,629;51,059;312,549;1989,751
LIT 400kV N0 1 BEZAUMONT - VIGY;43970;3294;3622;3622;3780;0,886;11,633;96,23;612,618
LIT 400kV NO 2 BEZAUMONT-HOUDREVILLE;52265;3465;3622;3622;3780;1,031;13,545;112,287;714,841
LIT 225kV N0 1 BEZON-POTEAU ROUGE;88449;983;1022;1022;1059;6,829;35,619;125,746;800,523
LIT 225kV N0 1 BEZON-PONTCHATEAU;86496;846;928;928;1005;6,782;35,208;124,368;791,752
LIT 225kV N0 1 BIANCON - FREJUS;24588;1100;1100;1600;1600;;;;
LIT 225kV NO 1 BIANCON-MOUGINS;18456;1000;1000;1160;1185;0,987;5,296;324,43;2065,384
LIT 225kV NO 1 BIANCON-PLAN-DE-GRASSE;17853;1062;1160;1160;1238;0,705;5,149;263,983;1680,571
LIT 400kV N0 1 BIANCON - TRANS;31264;2128;2326;2326;2482;0,936;9,487;58,826;374,496
LIT 400kV N0 2 BIANCON - TRANS;31168;2128;2326;2326;2482;0,936;9,487;58,826;374,496
LIT 225kV NO 1 BISSY-GRANDE-ILE;18962;566;672;672;764;1,63;7,68;53,348;339,624
LIT 225kV N0 1 BOISSE (LA) - CAILLOUX-SUR-FONTAINES;10654;1123;1211;1211;1290;0,639;4,262;15,402;98,055
LIT 225kV N0 1 BOISSE (LA) - CUSSET-POSTE;12613;857;857;1024;1024;0,66;4,98;37;
LIT 225kV N0 1 BOISSE (LA) - GENISSIAT-POSTE;68301;695;725;782;855;6,206;27,41;104,429;664,814
