OBJECTID;ID;SYMBOLE;ACTEUR;MAJ;MAJ_GEO;TRACE;CONFIG;ETAT;U_MAX;ID_OBJECT;sub_num;ADR_LIT;IDR_LIT;start;u_code;circn;end;code_start;code_end
25304;77549188;+A11E6;LCP;1452854121000;1409744779000;1;A;E;6;77549188_25304;1;LIT 225kV N0 1 PRUNIERES - SSCOG / CORDE PRUNI 1;PRUNIL61ZSSCO;PRUNI;6;1;ZSSCO;;SSCOG
25594;74379377;+A11E6;ADS;1406653666000;1306404921000;1;A;E;6;74379377_25594;1;LIT 225kV N0 1 VILLEJUST - PIQUAGE A LINAS (PRINCIPAL);VLEJUL61ZLINA;VLEJU;6;1;ZLINA;VLEJU;
26142;76269395;+A11E6;RDP;1422876908000;1368202055000;1;A;E;6;76269395_26142;1;LIT 225kV NO 1 TABARDERIE-GIEN / TABAR VLEMA 1;TABARL61ZGLAC;TABAR;6;1;ZGLAC;TABAR;
26233;74008677;+A22E66;CBP;1411743698000;1295886959000;1;A;E;6;74008677_26233;1;LIT 225kV N0 4 CERGY - PIQUAGE FROMAINVILLE A ACHERES (ZFRO7);CERGYL64ZFRO7;CERGY;6;4;ZFRO7;CERGY;
26353;77663404;+A11E6;CFP;1413304015000;1410452331000;1;A;E;6;77663404_26353;1;LIT 225kV N0 1 VILLEVAUDE - PIQUAGE A CROISSY-BEAUBOURG;VLEVAL61ZORS6;VLEVA;6;1;ZORS6;VLEVA;
26579;60004349;+A22E66;RDP;1417187645000;1270655771000;1;A;E;6;60004349_26579;1;LIT 225kV N0 1 QUINTES (LES) - PIQUAGE A AMIGNE;QUINTL61ZAMIG;QUINT;6;1;ZAMIG;QUINT;
26687;71201307;+A11E6;CBP;1412681012000;1203350988000;1;A;E;6;71201307_26687;1;LIT 225kV NO 1 ST-AVOLD - PIQUAGE SARREGUEMINES;SSAVOL61ZSAR6;SSAVO;6;1;ZSAR6;SSAVO;
26940;10000457;+A11E6;CFP;1421683675000;1421683638000;1;A;E;6;10000457_26940;1;LIT 225kV NO 1 BEUVRY (LABOURSE)-BEUVR / MAZIN VENDI 1;BEUVRL61ZBEU5;BEUVR;6;1;ZBEU5;BEUVR;
27071;71878777;+A11E6;CFP;1413305202000;1410453328000;1;A;E;6;71878777_27071;1;LIT 225kV NO 1 MORBRAS - PIQUAGE A CROISSY-BEAUBOURG;MORBRL61ZORS6;MORBR;6;1;ZORS6;MORBR;
27889;70000938;+A11E6;JUL;1410440250000;855187200000;1;A;E;6;70000938_27889;1;LIT 225kV N0 2 CORMEILLES - PIQUAGE HERBLAY A HERBLAY (ZHER7);CORMEL62ZHER7;CORME;6;2;ZHER7;CORME;
28012;76312788;+A11E6;CBP;1416216806000;1371038119000;1;A;E;6;76312788_28012;1;LIT 225kV N0 2 AVRON - PIQUAGE A GAGNY;AVRONL62ZAVR5;AVRON;6;2;ZAVR5;AVRON;
28623;70003031;+A11E6;LCP;1453463038000;1388158352000;1;A;E;6;70003031_28623;1;LIT 225kV NO 2 AQUEDUCS (LES) - PIQUAGE COQUIBUS A EVRY (ZCOQ5);AQUEDL62ZCOQ5;AQUED;6;2;ZCOQ5;AQUED;
28741;76868085;+A11E6;CFP;1426595515000;1386842391000;1;A;E;6;76868085_28741;1;LIT 225kV NO 2 ARPENTS (LES) - PIQUAGE RICHEBOURG A RICHEBOURG (ZRIC6);ARPENL62ZRIC6;ARPEN;6;2;ZRIC6;ARPEN;
28784;76312088;+A11E6;CBP;1416481934000;1371038061000;1;A;E;6;76312088_28784;1;LIT 225kV NO 2 PLAISANCE - PIQUAGE A GAGNY;PLAISL62ZAVR5;PLAIS;6;2;ZAVR5;PLAIS;
29447;71403977;+A11E6;RDP;1422609826000;1402941303000;1;A;E;6;71403977_29447;1;LIT 225kV N0 4 CHEVILLY - PIQUAGE MASSY A MASSY (ZMAS5);CHEVIL64ZMAS5;CHEVI;6;4;ZMAS5;CHEVI;
29986;73380467;+A11E6;RDP;1421842268000;1276090962000;1;A;E;6;73380467_29986;1;LIT 225kV N0 1 LANEUVEVILLE - PIQUAGE SAULNOIS;LANEUL61ZSAU9;LANEU;6;1;ZSAU9;LANEU;
30462;77145404;+A11E6;CFP;1393930132000;1393930027000;1;A;E;6;77145404_30462;1;LIT 225kV N0 1 MOIRANS - PIQUAGE AUX PETITES ILES;MOIRAL61ZP.IL;MOIRA;6;1;ZP.IL;MOIRA;
31248;78493788;+A11E6;CA;1456829854000;1456829828000;1;A;E;6;78493788_31248;1;LIT 225kV N0 4 MASSY - PIQUAGE MASSY A MASSY (ZMAS5);MASSYL64ZMAS5;MASSY;6;4;ZMAS5;MASSY;
31394;71335679;+A11E6;CFP;1415007058000;1454492005000;1;A;E;6;71335679_31394;1;LIT 225kV N0 2 BELLE-EPINE - PIQUAGE A SAINT-LAURENT;B.EPIL62ZSSL7;B.EPI;6;2;ZSSL7;B.EPI;
32111;78514011;+A11E6;LCP;1458037929000;1457969409000;1;A;E;6;78514011_32111;1;LIT 225kV N0 4 VILLEJUST - PIQUAGE MASSY A MASSY (ZMAS5);VLEJUL64ZMAS5;VLEJU;6;4;ZMAS5;VLEJU;
32177;71424379;+A11E6;CBP;1418120487000;1223653415000;1;A;E;6;71424379_32177;1;LIT 225kV N0 1 TRITH-ST-LEGER (L.M.E.) - TRIT5 / G.CAI TRITH 1;TRITHL61ZTRIT;TRITH;6;1;ZTRIT;TRITH;
32586;77175388;+A11E6;CBP;1415199799000;1394118765000;1;A;E;6;77175388_32586;1;LIT 225kV NO 1 CERGY - PIQUAGE A SAINT-OUEN-L AUMONE (ZLIE5);CERGYL61ZLIE5;CERGY;6;1;ZLIE5;CERGY;
32916;70587491;+A11E6;CBP;1418290392000;1295013825000;1;A;E;6;70587491_32916;1;LIT 225kV N0 1 BRENS - MARNI / AOSTE BRENS 1;BRENSL61ZMAR8;BRENS;6;1;ZMAR8;BRENS;
33134;72023879;+A11E6;RDP;1418640547000;1301930335000;1;A;E;6;72023879_33134;1;LIT 225kV NO 2 MARTYRE (LA) - PIQUAGE A TREFLEVENEZ;MARTYL62ZTREF;MARTY;6;2;ZTREF;MARTY;
33665;10001686;+F--E9;CA;1424945287000;1161966716000;1;F;E;9;10001686_33665;1;LIT COURANT CONTINU N0 2 SELLINDGE (270 KV CC) - MANDARINS;.SELLL92MANDA;.SELL;9;2;MANDA;;MANDA
4101;60000025;+A11E6;CA;1394012956000;1386843631000;1;A;E;6;60000025_4101;1;LIT 225kV NO 2 RICHEBOURG - PIQUAGE RICHEBOURG A RICHEBOURG (ZRIC6);RICH5L62ZRIC6;RICH5;6;2;ZRIC6;RICH5;
22077;40003270;+A11E6;CBP;1412869575000;1377083014000;1;A;E;6;40003270_22077;1;LIT 225kV N0 4 CAILLOLS - CAIL5 / E.BOT RABAT 4;CAIL5L64ZCAI5;CAIL5;6;4;ZCAI5;CAIL5;
2308;75697295;+S-2E66;CA;1392727589000;1352383650000;1;S;E;6;75697295_2308;2;LIT 225kV NO 2 CHATILLON (CLAMART) - PIQUAGE ROBINSON A LE PLESSIS-ROBINSON (ZROB5);CHATIL62ZROB5;CHATI;6;2;ZROB5;CHATI;
7848;70002699;+A22E66;CBP;1419940142000;1295954382000;1;A;E;6;70002699_7848;2;LIT 225kV N0 4 CORMEILLES - PIQUAGE FROMAINVILLE A ACHERES (ZFRO7);CORMEL64ZFRO7;CORME;6;4;ZFRO7;CORME;
13443;40001543;+A22E66;JUL;1413285107000;1377080136000;1;A;E;6;40001543_13443;2;LIT 225kV N0 4 ENCO-DE-BOTTE - CAIL5 / E.BOT RABAT 4;E.BOTL64ZCAI5;E.BOT;6;4;ZCAI5;E.BOT;
16664;30001872;+A22E60;CFP;1392742068000;1392741739000;1;A;E;6;30001872_16664;2;RES. LIT 225kV N0 2 GIVORS - LOIRE (-SUR-RHONE);GIVORL62LOIRE;GIVOR;6;2;LOIRE;GIVOR;
21793;71086507;+A22E66;CFP;1413280054000;1395161930000;1;A;E;6;71086507_21793;2;LIT 225kV NO 1 PRIMEVERES - PIQUAGE A AULNAY-SOUS-BOIS;PRIMEL61ZSAVI;PRIME;6;1;ZSAVI;PRIME;
32011;50001019;+A22E60;RDP;1422881197000;1386606092000;1;A;E;6;50001019_32011;2;RES. LIT 225kV N0 2 CANCON - DANTOU;CANCOL62DANTO;CANCO;6;2;DANTO;;DANTO
