"OBJECTID";"ID";"SYMBOLE";"ACTEUR";"MAJ";"MAJ_GEO";"TRACE";"CODNAT";"ADR_SITE";"LIB_SUITE";"FONCTION";"PORTIQUE";"POSTE_ISOLE";"ETAT";"U_MAX";"x";"y"
3258;70023407;"+PE6";"fl";1225369213000;1288712028000;1;"FAVAR";"FAVARY";"(ERDF)";"P";0;0;"E";6;910514,390000001;6268673,95
3261;50001628;"+PE6";NA;1,010448e+12;NA;1;"SSVIN";"ST-VINCENT";NA;"P";0;0;"E";6;717732,689999998;6252212,32
3265;20001320;"+PE6";"CAP";778982400000;1304954898000;1;"TONNE";"TONNERRE";NA;"P";0;0;"E";6;775420,170000002;6749912,64
3266;70000208;"+PE6";"FL";1210083169000;NA;1;"RATIE";"RATIER";"(TOTAL PETROCHEMICALS)";"P";0;0;"E";6;499254,799999997;6933220,46
3277;10000026;"+PE6";"CAP";875836800000;1311245366000;1;"A.LI6";"AIR-LIQUIDE";"(A GRANDE SYNTHE)";"P";0;0;"E";6;648091,270000003;7103494,68
3284;60000860;"+PE7";NA;610761600000;NA;1;"CHAIN";"CHAINGY";NA;"P";0;0;"E";7;610975,670000002;6753588,33
3294;40000134;"+PE6";"RTP";610761600000;1353680266000;1;"LAFIG";"LAFIGERE";NA;"P";0;0;"E";6;782817,5;6371571,31
3295;40000090;"+PE6";"RTP";7,65504e+11;1353418884000;1;"BOUDE";"BOUDEYRE";NA;"P";0;0;"E";6;808973,280000001;6387206,12
3299;70002030;"+PE6";"CA";1340033895000;1340033667000;1;"CRIME";"CRIMEE";"DYJ";"P";0;0;"E";6;655918,450000003;6868047,48
3303;70001266;"+PE6";"CA";888451200000;1394188098000;1;"ARRI5";"ARRIGHI";"(SITE EX-CENTRALE)";"P";0;0;"E";6;659446,310000002;6854084,92
3306;70026307;"+PE6";"VC";1357574277000;1357573334000;1;"EPIZO";"EPIZON - LES HAUTS PAYS";NA;"P";0;0;"E";6;872447,130000003;6813155,05
3313;50000830;"+PE6";NA;788486400000;NA;1;"DANTO";"DANTOU";NA;"P";0;0;"E";6;527422,460000001;6375980,98
3318;40000508;"+PE6";NA;610761600000;NA;1;"SSCES";"ST-CESAIRE";NA;"P";0;0;"E";6;807518,600000001;6302353,16
3319;20000616;"+PE7";NA;1065571200000;NA;1;"REVIG";"REVIGNY";NA;"P";0;0;"E";7;846445,780000001;6858333,18
3323;60001498;"+PE6";NA;610761600000;NA;1;"CHOLE";"CHOLET";NA;"P";0;0;"E";6;403956,560000002;6669340,73
3328;10000156;"+PE6";NA;610761600000;NA;1;"CROIX";"CROIX (LA)";NA;"P";0;0;"E";6;709300,039999999;7068189,62
3333;60000227;"+PE6";"JAP";1171041479000;1174917056000;1;"BRENN";"BRENNILIS";NA;"P";0;0;"E";6;191838,020000003;6828151,46
3341;10000011;"+PE6";"CV";1122645697000;1122643897000;1;"PREDE";"PREDEMBOURG";"(SOLLAC A DUNKERQUE)";"P";0;0;"E";6;651268,799999997;7106772,89
3359;30002168;"+PE6";NA;610761600000;NA;1;"P.ESC";"PONT-ESCOFFIER";NA;"P";0;0;"E";6;941806,950000003;6438452,91
3361;40000653;"+PE7";"CA";1225196543000;1375721420000;1;"BIANC";"BIANCON";NA;"P";0;0;"E";7;1009610,86;6284596,27
3364;30000339;"+PE7";NA;610761600000;NA;1;"GROSN";"GROSNE";NA;"P";0;0;"E";7;830900,18;6615805,35
3378;30000099;"+PE6";NA;809049600000;NA;1;"MAGNY";"MAGNY(-SUR TILLE)";NA;"P";0;0;"E";6;863765,619999997;6690392,14
3380;70000944;"+PE6";"NBP";956707200000;1320412719000;1;"NEY  ";"NEY (RATP)";NA;"P";0;0;"E";6;652446,969999999;6868262,23
3384;40000193;"+PE6";"RTP";923443200000;1317997043000;1;"BARJA";"BARJAC";NA;"P";0;0;"E";6;807163,359999999;6358215,99
3397;70031177;"+PE6";"VC";1304072466000;1289315193000;1;"ORLY";"ORLY";NA;"P";0;0;"E";6;652049,200000003;6848229,08
3399;50002026;"+PE6";NA;1013126400000;NA;1;"AUZAT";"AUZAT";NA;"P";0;0;"E";6;575267,579999998;6186034,29
3400;50001976;"+PE6";NA;1,016064e+12;NA;1;"TARAS";"TARASCON";NA;"P";0;0;"E";6;585361,93;6196210,89
3408;30000352;"+PE6";"CAP";610761600000;1303140043000;1;"GUEUG";"GUEUGNON";NA;"P";0;0;"E";6;781740,149999999;6614163,32
3415;70001443;"+PE6";NA;774489600000;NA;1;"MASSY";"MASSY";NA;"P";0;0;"E";6;646270,840000004;6848607,5
3422;30002382;"+PE6";"vc";1118255248000;1118255214000;1;"DECIN";"DECINES";"RHONE";"P";0;0;"E";6;851395,630000003;6518423,65
3426;20001008;"+PE7";"JPP";1143804520000;NA;1;".ACHE";"ACHENE";"(BELGIQUE)";"P";0;0;"E";7;840495,420000002;7024219,76
3439;60000934;"+PE6";NA;990403200000;NA;1;"THEIX";"THEIX";NA;"P";0;0;"E";6;273520,950000003;6743866,31
3455;10000204;"+PE6";"CV";610761600000;1126188993000;1;"SSROC";"ST-ROCH";NA;"P";0;0;"E";6;704357,270000003;7063631,26
3459;60001154;"+PE7";NA;610761600000;NA;1;"CHAN5";"CHANCEAUX";NA;"P";0;0;"E";7;526409,759999998;6711577,89
3461;50000961;"+PE7";NA;1005523200000;NA;1;"DONZA";"DONZAC";NA;"P";0;0;"E";7;525023,600000001;6336068,01
3462;50002023;"+PE6";"VC";1251985066000;1251985028000;1;"ASTON";"ASTON";NA;"P";0;0;"E";6;591350,060000002;6187230,81
3466;30000686;"+PE7";"CFP";1026172800000;1414165428000;1;"CORNI";"CORNIER";"(E.D.F. ET S.N.C.F.)";"P";0;0;"E";7;954457,579999998;6559211,94
3469;20001814;"+PE7";NA;993772800000;NA;1;"VLECH";"VILLECHETIVE";NA;"P";0;0;"E";7;735641,340000004;6777614,06
3470;30000497;"+PE7";NA;610761600000;NA;1;"CERN ";"C.E.R.N.";NA;"P";0;0;"E";7;935779,329999998;6578155,82
3477;70000670;"+PE7";"CFP";1403604461000;NA;1;"P.GAS";"PLESSIS-GASSOT";NA;"P";0;0;"E";7;659056,289999999;6881017,95
3479;70011802;"+PE7";"VC";1192121132000;1159780764000;1;"M.LAN";"MONTAGNY-LES-LANCHES";NA;"P";0;0;"E";7;937102,210000001;6534109,34
3484;70041195;"+PE6";"CA";1390999166000;1347890596000;1;"SSVA6";"ST-CYR-EN-VAL";NA;"P";0;0;"E";6;621342,359999999;6744512,37
3485;10000514;"+PE7";NA;1,070928e+12;NA;1;"MASTA";"MASTAING";NA;"P";0;0;"E";7;720217,119999997;7022171,33
3487;70001429;"+PE6";NA;956793600000;NA;1;"SSAU5";"ST-AUBIN";"(225KV)";"P";0;0;"E";6;636993,670000002;6848151,65
3488;70001114;"+PE6";NA;774489600000;NA;1;"HARC7";"HARCOURT (POSTE BLINDE)";NA;"P";0;0;"E";6;647178,109999999;6858672,2
