tension;circuit;début;fin;codeNat_debut;codeNat_fin;x_debut;y_debut;x_fin;y_fin;Longueur / length (km);IST_E1 (Amp);IST_IS1 (Amp);IST_IS2 (Amp);IST_H1 (Amp);Rd (Ohm);Xd (Ohm);Hd/2 (µS);Cd (nF)
225kV;1;LANDRES;MONTOIS;LANDR;MTOIS;901774,34;6915530;919361,18;6905685,2;23325;1100;1187;1187;1302;1,396;9,385;33,851;215,504
225kV;1;LANDRES;STENAY;LANDR;STENA;901774,34;6915530;859392;6936734,21;49025;1100;1187;1187;1302;2,804;19,287;71,207;453,32
225kV;1;LANDRES;MOULAINE;LANDR;MOULA;901774,34;6915530;902412,4;6935182,53;19700;1070;1155;1155;1265;1,207;8,015;27,771;176,797
225kV;1;LANDRES;VIGY;LANDR;VIGY ;901774,34;6915530;938816,47;6904732,85;43185;1070;1155;1155;1265;2,59;17,345;62,144;395,623
225kV;1;LANNEMEZAN;PRAGNERES;LANNE;PRAG5;487277,94;6227113,77;456271,52;6196243,76;62874;737;820;820;889;5,673;25,457;88,754;565,026
225kV;1;LATENA;ROYE;LATEN;ROYE ;695422,25;6950927,61;685611,93;6955013,21;11268;1172;1285;1285;1388;0,65;4,449;16,333;103,976
225kV;1;LATENA;PERTAIN;LATEN;PERTA;695422,25;6950927,61;689620,03;6966254,72;16987;1172;1235;1285;1388;1,003;6,694;30,791;196,022
400kV;1;LATENA;VILLEVAUDE;LATEN;VLEVA;695422,25;6950927,61;675266,82;6867147,42;102029;2200;2300;2300;2400;3,063;31,059;192,249;1223,894
225kV;1;LAUNAY;RANCE-POSTE;LAUNA;RAN.P;385686,86;6837723,68;329297,04;6847029,8;66725;901;988;988;1050;5,956;27,074;93,919;597,91
400kV;1;LAUNAY;TAUTE;LAUNA;TAUTE;385686,86;6837723,68;382239,9;6909182,11;82053;3465;3622;3622;3780;1,641;21,58;179,155;1140,537
400kV;2;LAUNAY;TAUTE;LAUNA;TAUTE;385686,86;6837723,68;382239,9;6909182,11;82051;3465;3622;3622;3780;1,641;21,579;179,151;1140,509
225kV;1;LAVERA;PORT-DE-BOUC;LAVER;P.BOU;864027,67;6255883,25;861395,15;6259363,61;8816;1233;1320;1320;1389;0,526;3,524;12,707;80,894
225kV;1;LAVERA;PONTEAU;LAVER;PONTE;864027,67;6255883,25;864144,65;6253619,29;2540;2200;2300;2300;2400;0,063;0,696;5,328;33,918
225kV;1;LAVERA;SEPTEMES;LAVER;SEPTE;864027,67;6255883,25;890696,36;6258088,76;28904;1062;1160;1160;1238;1,732;11,488;41,797;266,09
225kV;1;LEGUEVIN;PORTET-ST-SIMON;LEGUE;P.SIM;560598,01;6279197,82;569561,91;6271236,9;17986;813;890;890;966;1,616;7,481;24,699;157,241
225kV;1;LEGUEVIN;LESQUIVE;LEGUE;LESQU;560598,01;6279197,82;561081,41;6303473,98;24939;813;890;890;966;2,266;10,729;35,598;226,621
225kV;2;LESCAR;MARSILLON;LESCA;MARSI;421344;6252255,2;408736,4;6260624,4;18078;1172;1248;1248;1310;1,085;7,269;26,031;165,72
225kV;1;LESQUIVE;VERLHAGUET;LESQU;VERLH;561081,41;6303473,98;564918,06;6321826,83;24271;828;908;908;986;2,045;9,143;34,203;217,741
225kV;2;LESQUIVE;VERLHAGUET;LESQU;VERLH;561081,41;6303473,98;564918,06;6321826,83;25755;813;890;890;966;2,266;10,706;35,577;226,49
400kV;1;LESQUIVE;VERFEIL;LESQU;VERFE;561081,41;6303473,98;592807,54;6282056,56;40205;3255;3600;3600;3780;0,805;10,592;87,694;558,279
225kV;1;LIGNAT;RULHAT;LIGNA;RULHA;720632,4;6513415,94;720943,39;6523761,2;10255;1032;1146;1146;1241;0,633;4,196;14,352;91,369
225kV;1;LINGOSTIERE;TRINITE-VICTOR;LINGO;T.VIC;1037382,74;6300029,85;1047624,42;6303729,26;12188;816;889;889;947;1,092;4,937;17,279;
225kV;1;LIVIERE;ST-VINCENT;LIVIE;SSVIN;698683,62;6232836,03;717732,69;6252212,32;28524;1234;1320;1320;1389;1,661;11,463;41,341;263,185
400kV;1;LOGELBACH;MUHLBACH;LOGEL;MUHLB;1020514,07;6784646,49;1040153,4;6766115,97;30365;2196;2400;2400;2596;0,911;9,256;56,923;362,38
225kV;1;LOGIS-NEUF;VALENCE;L.NEU;VALE8;842016,27;6398819,35;852051,1;6426150,35;33476;695;782;782;855;2,95;13,684;46,914;298,663
225kV;1;LONG-CHAMP (LE);SOISSONS-NOTRE-DAME;L.CHA;S.DAM;734754,49;6916085,12;723268,51;6917435,36;13165;731;835;835;925;1,112;5,351;18,501;117,783
